t,delta,force,overlap,vel
3.386e-08,6.322368120022e-07,-2.38151513573715e-08,2.76318799779991e-09,-2.05508003013593
3.388e-08,6.32195706073209e-07,-2.31498773797848e-08,2.80429392679095e-09,-2.05550682329187
3.39e-08,6.32154591729269e-07,-2.24813980637074e-08,2.84540827073097e-09,-2.05592149600857
3.392e-08,6.32113469213369e-07,-2.18099937787352e-08,2.88653078663098e-09,-2.05632399257705
3.394e-08,6.32072338769566e-07,-2.11367637731643e-08,2.92766123043391e-09,-2.05671426982559
3.396e-08,6.32031200642576e-07,-2.04599825298984e-08,2.96879935742399e-09,-2.05709227889124
3.398e-08,6.3199005507841e-07,-1.97807138893229e-08,3.00994492158993e-09,-2.05745796489813
3.4e-08,6.3194890232398e-07,-1.90996501651035e-08,3.05109767601993e-09,-2.05781128892933
3.402e-08,6.31907742626853e-07,-1.84147047290465e-08,3.09225737314691e-09,-2.05815219939715
3.404e-08,6.31866576236004e-07,-1.77276939473969e-08,3.1334237639959e-09,-2.05848064225792
3.406e-08,6.31825403401162e-07,-1.70388426788745e-08,3.17459659883799e-09,-2.0587965820175
3.408e-08,6.31784224372723e-07,-1.63459466085724e-08,3.215775627277e-09,-2.05909996519352
3.41e-08,6.31743039402555e-07,-1.56513163978495e-08,3.25696059744492e-09,-2.05939073927005
3.412e-08,6.31701848743153e-07,-1.49545145728217e-08,3.29815125684696e-09,-2.05966886875365
3.414e-08,6.31660652647804e-07,-1.42540905010489e-08,3.33934735219592e-09,-2.05993430099281
3.416e-08,6.31619451371113e-07,-1.35519641094828e-08,3.38054862888691e-09,-2.06018698760071
3.418e-08,6.315782451683e-07,-1.2847347840929e-08,3.42175483169993e-09,-2.06042689048089
3.42e-08,6.31537034295494e-07,-1.21395190382249e-08,3.46296570450596e-09,-2.06065395781289
3.422e-08,6.31495819009988e-07,-1.14300202836495e-08,3.50418099001197e-09,-2.06086814522726
3.424e-08,6.31454599569685e-07,-1.07177250992565e-08,3.54540043031496e-09,-2.06106941213592
3.426e-08,6.31413376233502e-07,-1.00026154432412e-08,3.58662376649793e-09,-2.06125770754998
3.428e-08,6.31372149261383e-07,-9.28586874612392e-09,3.62785073861694e-09,-2.06143299101646
3.43e-08,6.31330918913862e-07,-8.56602966537722e-09,3.66908108613799e-09,-2.06159521955687
3.432e-08,6.312896854526e-07,-7.84376367146041e-09,3.71031454739991e-09,-2.06174434301479
3.434e-08,6.31248449140141e-07,-7.11989408585803e-09,3.75155085985891e-09,-2.06188032476314
3.436e-08,6.3120721023961e-07,-6.39264569209345e-09,3.79278976038991e-09,-2.06200311952451
3.438e-08,6.3116596901536e-07,-5.66334854223898e-09,3.83403098463997e-09,-2.0621126779761
3.44e-08,6.31124725732491e-07,-4.93248178478356e-09,3.87527426750895e-09,-2.06220896723614
3.442e-08,6.31083480656671e-07,-4.19795829251992e-09,3.916519343329e-09,-2.06229193981043
3.444e-08,6.31042234054899e-07,-3.46175586214305e-09,3.95776594510092e-09,-2.0623615472112
3.446e-08,6.31000986194782e-07,-2.72383024197368e-09,3.999013805218e-09,-2.06241775852174
3.448e-08,6.30959737344558e-07,-1.98235375107885e-09,4.04026265544196e-09,-2.06246052581419
3.45e-08,6.3091848777375e-07,-1.23937263539782e-09,4.08151222624996e-09,-2.0624898031469
3.452e-08,6.30877237752432e-07,-4.94382542228499e-10,4.1227622475679e-09,-2.06250555859012
3.454e-08,6.30835987551406e-07,2.53780484863145e-10,4.16401244859394e-09,-2.06250774505341
3.456e-08,6.30794737442629e-07,1.00341294777699e-09,4.205262557371e-09,-2.06249632034939
3.458e-08,6.30753487698592e-07,1.75533375552597e-09,4.24651230140794e-09,-2.06247125032934
3.46e-08,6.30712238592616e-07,2.51005574636949e-09,4.28776140738396e-09,-2.06243248874236
3.462e-08,6.30670990399042e-07,3.26621145481941e-09,4.3290096009579e-09,-2.0623799971039
3.464e-08,6.30629743392732e-07,4.02492938676809e-09,4.370256607268e-09,-2.06231373910101
3.466e-08,6.30588497849478e-07,4.78608198133711e-09,4.4115021505219e-09,-2.06223366932462
3.468e-08,6.30547254045959e-07,5.54863204993703e-09,4.45274595404097e-09,-2.06213975295034
3.47e-08,6.3050601225936e-07,6.31401363429373e-09,4.49398774063991e-09,-2.06203195154735
3.472e-08,6.30464772767897e-07,7.08146766653301e-09,4.53522723210292e-09,-2.06191022055104
