t,delta,force,overlap,vel
6.286e-08,3.59493212309452e-06,0,-2.95993212309452e-06,62.3343351094227
6.288e-08,3.5961788097967e-06,0,-2.9611788097967e-06,62.3343351094227
6.29e-08,3.59742549649889e-06,0,-2.96242549649889e-06,62.3343351094227
6.292e-08,3.59867218320108e-06,0,-2.96367218320108e-06,62.3343351094227
6.294e-08,3.59991886990327e-06,0,-2.96491886990327e-06,62.3343351094227
6.296e-08,3.60116555660546e-06,0,-2.96616555660546e-06,62.3343351094227
6.298e-08,3.60241224330765e-06,0,-2.96741224330765e-06,62.3343351094227
6.3e-08,3.60365893000984e-06,0,-2.96865893000984e-06,62.3343351094227
6.302e-08,3.60490561671202e-06,0,-2.96990561671202e-06,62.3343351094227
6.304e-08,3.60615230341421e-06,0,-2.97115230341421e-06,62.3343351094227
6.306e-08,3.6073989901164e-06,0,-2.9723989901164e-06,62.3343351094227
6.308e-08,3.60864567681859e-06,0,-2.97364567681859e-06,62.3343351094227
6.31e-08,3.60989236352078e-06,0,-2.97489236352078e-06,62.3343351094227
6.312e-08,3.61113905022297e-06,0,-2.97613905022297e-06,62.3343351094227
6.314e-08,3.61238573692515e-06,0,-2.97738573692515e-06,62.3343351094227
6.316e-08,3.61363242362734e-06,0,-2.97863242362734e-06,62.3343351094227
6.318e-08,3.61487911032953e-06,0,-2.97987911032953e-06,62.3343351094227
6.32e-08,3.61612579703172e-06,0,-2.98112579703172e-06,62.3343351094227
6.322e-08,3.61737248373391e-06,0,-2.98237248373391e-06,62.3343351094227
6.324e-08,3.6186191704361e-06,0,-2.9836191704361e-06,62.3343351094227
6.326e-08,3.61986585713829e-06,0,-2.98486585713829e-06,62.3343351094227
6.328e-08,3.62111254384047e-06,0,-2.98611254384047e-06,62.3343351094227
6.33e-08,3.62235923054266e-06,0,-2.98735923054266e-06,62.3343351094227
6.332e-08,3.62360591724485e-06,0,-2.98860591724485e-06,62.3343351094227
6.334e-08,3.62485260394704e-06,0,-2.98985260394704e-06,62.3343351094227
6.336e-08,3.62609929064923e-06,0,-2.99109929064923e-06,62.3343351094227
6.338e-08,3.62734597735142e-06,0,-2.99234597735142e-06,62.3343351094227
6.34e-08,3.6285926640536e-06,0,-2.9935926640536e-06,62.3343351094227
6.342e-08,3.62983935075579e-06,0,-2.99483935075579e-06,62.3343351094227
6.344e-08,3.63108603745798e-06,0,-2.99608603745798e-06,62.3343351094227
6.346e-08,3.63233272416017e-06,0,-2.99733272416017e-06,62.3343351094227
6.348e-08,3.63357941086236e-06,0,-2.99857941086236e-06,62.3343351094227
6.35e-08,3.63482609756455e-06,0,-2.99982609756455e-06,62.3343351094227
6.352e-08,3.63607278426674e-06,0,-3.00107278426674e-06,62.3343351094227
6.354e-08,3.63731947096892e-06,0,-3.00231947096892e-06,62.3343351094227
6.356e-08,3.63856615767111e-06,0,-3.00356615767111e-06,62.3343351094227
6.358e-08,3.6398128443733e-06,0,-3.0048128443733e-06,62.3343351094227
6.36e-08,3.64105953107549e-06,0,-3.00605953107549e-06,62.3343351094227
6.362e-08,3.64230621777768e-06,0,-3.00730621777768e-06,62.3343351094227
6.364e-08,3.64355290447987e-06,0,-3.00855290447987e-06,62.3343351094227
6.366e-08,3.64479959118205e-06,0,-3.00979959118205e-06,62.3343351094227
6.368e-08,3.64604627788424e-06,0,-3.01104627788424e-06,62.3343351094227
6.37e-08,3.64729296458643e-06,0,-3.01229296458643e-06,62.3343351094227
6.372e-08,3.64853965128862e-06,0,-3.01353965128862e-06,62.3343351094227
6.374e-08,3.64978633799081e-06,0,-3.01478633799081e-06,62.3343351094227
6.376e-08,3.651033024693e-06,0,-3.016033024693e-06,62.3343351094227
6.378e-08,3.65227971139518e-06,0,-3.01727971139518e-06,62.3343351094227
6.38e-08,3.65352639809737e-06,0,-3.01852639809737e-06,62.3343351094227
6.382e-08,3.65477308479956e-06,0,-3.01977308479956e-06,62.3343351094227
6.384e-08,3.65601977150175e-06,0,-3.02101977150175e-06,62.3343351094227
6.386e-08,3.65726645820394e-06,0,-3.02226645820394e-06,62.3343351094227
6.388e-08,3.65851314490613e-06,0,-3.02351314490613e-06,62.3343351094227
6.39e-08,3.65975983160832e-06,0,-3.02475983160832e-06,62.3343351094227
6.392e-08,3.6610065183105e-06,0,-3.0260065183105e-06,62.3343351094227
6.394e-08,3.66225320501269e-06,0,-3.02725320501269e-06,62.3343351094227
6.396e-08,3.66349989171488e-06,0,-3.02849989171488e-06,62.3343351094227
6.398e-08,3.66474657841707e-06,0,-3.02974657841707e-06,62.3343351094227
6.4e-08,3.66599326511926e-06,0,-3.03099326511926e-06,62.3343351094227
6.402e-08,3.66723995182145e-06,0,-3.03223995182145e-06,62.3343351094227
6.404e-08,3.66848663852363e-06,0,-3.03348663852363e-06,62.3343351094227
6.406e-08,3.66973332522582e-06,0,-3.03473332522582e-06,62.3343351094227
6.408e-08,3.67098001192801e-06,0,-3.03598001192801e-06,62.3343351094227
6.41e-08,3.6722266986302e-06,0,-3.0372266986302e-06,62.3343351094227
6.412e-08,3.67347338533239e-06,0,-3.03847338533239e-06,62.3343351094227
6.414e-08,3.67472007203458e-06,0,-3.03972007203458e-06,62.3343351094227
6.416e-08,3.67596675873677e-06,0,-3.04096675873677e-06,62.3343351094227
6.418e-08,3.67721344543895e-06,0,-3.04221344543895e-06,62.3343351094227
6.42e-08,3.67846013214114e-06,0,-3.04346013214114e-06,62.3343351094227
6.422e-08,3.67970681884333e-06,0,-3.04470681884333e-06,62.3343351094227
6.424e-08,3.68095350554552e-06,0,-3.04595350554552e-06,62.3343351094227
6.426e-08,3.68220019224771e-06,0,-3.04720019224771e-06,62.3343351094227
6.428e-08,3.6834468789499e-06,0,-3.0484468789499e-06,62.3343351094227
6.43e-08,3.68469356565208e-06,0,-3.04969356565208e-06,62.3343351094227
