TIMESTEP CONTACTS
120102	26781
-1.96793e-08 1.30993e-08 1.47988e-10 
0 0 0 
-1.15754e-08 -2.07741e-08 -1.56211e-09 
0 0 0 
-8.45898e-10 1.94223e-09 -5.91455e-10 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
4.19808e-10 -9.30096e-10 -3.75953e-10 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-3.67519e-09 -4.07337e-10 -1.05548e-09 
7.53541e-09 2.42816e-08 -6.7196e-09 
0 0 0 
1.22157e-07 3.24097e-07 -1.8456e-07 
2.36553e-07 -1.22152e-08 -2.50996e-07 
0 0 0 
0 0 0 
-3.1435e-09 -4.60542e-10 -8.63604e-10 
4.68092e-09 1.0522e-08 -5.79482e-09 
